fecha_iso,ancho_mm,alto_mm,categoria,serie
2013-09-25,230,162,mediano_grande,Puentes de España. Puente romano de Mérida
2013-10-09,230,162,mediano_grande,Puentes de España. Puente de Frías. Burgos
2013-10-09,230,162,mediano_grande,Puentes de España. Puente de Toledo. Madrid
2013-10-09,250,190,mediano_grande,150 años de la Cruz Roja. Emisión conjunta España-Bélgica
2013-11-05,230,162,mediano_grande,Efemérides. 75 Cumpleaños de SS.MM. Los Reyes de España
2013-11-15,230,162,mediano_grande,Personajes. Adolfo Suárez González
2014-01-02,230,162,mediano_grande,Arcos y Puertas monumentales
2014-02-03,230,162,mediano_grande,Coleccionismo 2014
2014-02-06,230,162,mediano_grande,"Arquitectura rural. Molino manchego, Hórreo asturiano y Barraca valenciana"
2014-02-27,230,162,mediano_grande,Exposición Filatélica Nacional EXFILNA 2014. Torremolinos
2014-03-24,230,162,mediano_grande,Patrimonio Mundial. Parque Güell
2014-04-24,230,162,mediano_grande,Gastronomía Española
2014-05-08,230,162,mediano_grande,Patrimonio Inmaterial de la Humanidad
2014-06-12,230,162,mediano_grande,Deportes. Copa Mundial FIFA Brasil 2014
2014-06-19,250,190,mediano_grande,Conjuntos urbanos Patrimonio de la Humanidad. Toledo
2014-06-19,230,162,mediano_grande,"Efemérides, IV Centenario del fallecimiento de El Greco"
2014-07-08,230,162,mediano_grande,Arte contemporáneo. Miquel Barceló
2014-07-11,230,162,mediano_grande,"Cine español. Manolo Escobar, Sara Montiel y Alfredo Landa"
2014-07-17,230,162,mediano_grande,Vehículos de época. Harely Davidson
2014-09-18,230,162,mediano_grande,Patrimonio Nacional. Tapices
2014-10-09,250,190,mediano_grande,Humor gráfico. Forges
2014-10-12,230,162,mediano_grande,S.M. Don Felipe VI. Rey de España
2014-10-20,230,162,mediano_grande,Fauna protegida
2014-11-07,230,162,mediano_grande,Valores cívicos escolares. “Platero y yo” Juan Ramón Jiménez
2014-11-11,250,190,mediano_grande,Navidad
2015-01-02,250,190,mediano_grande,Arcos y Puertas monumentales
2015-01-28,229,162,mediano_grande,Gastronomía española. Capital española de la Gastronomía 2014 Vitoria y Cáceres 2015
2015-02-03,229,162,mediano_grande,Coleccionismo
2015-03-13,229,162,mediano_grande,Exposición Filatélica Nacional EXFILNA 2015. Avilés
2015-04-27,229,162,mediano_grande,Patrimonio Nacional. Cueva de Altamira
2015-05-13,250,190,mediano_grande,Conjuntos urbanos Patrimonio de la Humanidad. Segovia
2015-05-14,250,190,mediano_grande,Tecnologías de la Información y la Comunicación. TICS
2015-06-17,229,162,mediano_grande,Efemérides. 400 años de la Casa de la Moneda de Madrid
2015-07-02,229,162,mediano_grande,Humor Gráfico. Peridis
2015-07-13,229,162,mediano_grande,Arte arquitectónico. Eduardo Chillida
2015-07-21,229,162,mediano_grande,Fauna protegida
2015-07-23,229,162,mediano_grande,Efemérides. XXV Aniversario del Tribunal Constitucional
2015-09-25,229,162,mediano_grande,Gastronomía D.O. Protegidas de Galicia
2015-10-14,229,162,mediano_grande,Patrimonio artístico. Mural de Joan Miró
2015-11-06,229,162,mediano_grande,Vehículos de época. Motos campeonas
2016-01-02,229,162,mediano_grande,S.M. Don Felipe VI. Serie básica
2016-02-17,229,162,mediano_grande,Coleccionismo. EXFILNA ECC. Zaragoza
2016-02-29,229,162,mediano_grande,"300 años de Correos en España, 1716-2016"
2016-03-16,229,162,mediano_grande,Tradiciones y Costumbres. Semana Santa
2016-03-21,297,210,extra_grande,"Pueblos con Encanto. Albarracín, La Alberca, Alcalá del Júcar y Santillana del Mar"
2016-04-21,229,162,mediano_grande,"300 años de Correos en España, 1716-2016"
2016-05-12,250,190,mediano_grande,Conjuntos urbanos Patrimonio de la Humanidad. Salamanca
2016-05-24,250,190,mediano_grande,Humor gráfico. Gallego & Rey
2016-06-09,229,162,mediano_grande,Gastronomía. D.O. Protegidas De Castilla-La Mancha
2016-07-14,229,162,mediano_grande,Arte contemporáneo español. Jaume Plensa
2016-07-18,229,162,mediano_grande,Fauna protegida
2016-09-14,229,162,mediano_grande,Exposición Filatélica Nacional EXFILNA 2016. Zaragoza
2016-09-14,229,162,mediano_grande,"300 años de Correos en España, 1716-2016"
2016-09-21,250,190,mediano_grande,Valores cívicos escolares. Solidaridad
2016-09-23,229,162,mediano_grande,Patrimonio artístico. Murales del Pabellón 12 de IFEMA
2016-10-06,229,162,mediano_grande,Patrimonio Mundial. Acueducto de Segovia
2016-10-07,229,162,mediano_grande,Vehículos de época. Coches campeones
2016-10-10,229,162,mediano_grande,"Arquitectura rural. Noria de la Albolafia, Cortijo andaluz y Cigarral"
2016-10-20,229,162,mediano_grande,La Generación de los 50
2017-02-10,229,162,mediano_grande,Efemérides. Reapertura del Teatro Real. Madrid
2017-03-10,325,230,extra_grande,"Pueblos con Encanto. Ainsa, Calatayud, Lastres y Urueña"
2017-03-21,229,162,mediano_grande,Humor gráfico. Quino
2017-04-05,229,162,mediano_grande,"Tradiciones y costumbres. Semana Santa del Bajo Aragón, Cáceres, Zamora y Málaga"
2017-05-03,305,215,extra_grande,Historia de España. Gallego & Rey
2017-05-08,250,190,mediano_grande,TIC. Videojuegos. La Abadía del Crimen
2017-05-10,250,190,mediano_grande,Patrimonio Mundial. Monumentos de Oviedo y Reino de Asturias
2017-05-23,250,190,mediano_grande,Cine. Star Wars. Darth Vader
2017-07-10,229,162,mediano_grande,La Generación de los 60
2017-07-10,229,162,mediano_grande,La Generación de los 70
2017-07-17,229,162,mediano_grande,Oficio y aficiones. Papiroflexia
2017-07-20,229,162,mediano_grande,Arte contemporáneo. Alberto Schommer
2017-09-20,229,162,mediano_grande,Gastronomía. D.O. de la Región de Murcia
2017-10-05,229,162,mediano_grande,Patrimonio Artístico. Estelas Gigantes de Cantabria
2017-10-09,229,162,mediano_grande,Exposición Filatélica Nacional EXFILNA 2017. Portugalete
2017-10-27,250,190,mediano_grande,Conjuntos urbanos Patrimonio de la Humanidad. Granada
2017-11-10,229,162,mediano_grande,Descubridores de Oceanía. Luis Váez de Torres y Pedro Fernández de Quirós
2018-02-14,229,162,mediano_grande,Arte contemporáneo. Eduardo Arroyo
2018-02-28,229,162,mediano_grande,Patrimonio Mundial. Santiago de Compostela
2018-03-13,305,215,extra_grande,"Pueblos con encanto. El Castell de Guadalest, Villanueva de la Jara, Chichón y Fromalutx"
